BJD,measured_relative_flux,measured_relative_flux_error,parallax_shift_t,parallax_shift_u,true_relative_flux,true_relative_flux_error,Simulation_time,observatory_code
2458346.5144004,0.99328915,0.00644749,0.205917,-0.0755608,1.00000000044,0.00644749,112.51440037,0
2458346.5228322,0.99950311,0.00644749,0.205919,-0.07556,1.00000000044,0.00644749,112.522832176,0
2458346.531264,1.003137,0.00644749,0.20592,-0.0755591,1.00000000044,0.00644749,112.531263981,0
2458346.5396958,0.9921263,0.00644749,0.205922,-0.0755583,1.00000000044,0.00644749,112.539695787,0
2458346.5481276,1.0019378,0.00644749,0.205924,-0.0755574,1.00000000044,0.00644749,112.548127593,0
2458346.5565594,1.0010657,0.00644749,0.205925,-0.0755566,1.00000000044,0.00644749,112.556559398,0
2458346.5649912,0.99536047,0.00644749,0.205927,-0.0755558,1.00000000044,0.00644749,112.564991204,0
2458346.573423,1.0079338,0.00644749,0.205928,-0.0755549,1.00000000044,0.00644749,112.573423009,0
2458346.5818548,1.0101504,0.00644749,0.20593,-0.0755541,1.00000000044,0.00644749,112.581854815,0
2458346.5902866,1.0002662,0.00644749,0.205932,-0.0755532,1.00000000044,0.00644749,112.59028662,0
2458346.5987184,0.98725688,0.00644749,0.205933,-0.0755524,1.00000000044,0.00644749,112.598718426,0
2458346.6071502,1.007425,0.00644749,0.205935,-0.0755515,1.00000000044,0.00644749,112.607150231,0
2458346.615582,1.000666,0.00644749,0.205937,-0.0755507,1.00000000044,0.00644749,112.615582037,0
2458346.6240138,0.98925553,0.00644749,0.205938,-0.0755498,1.00000000044,0.00644749,112.624013843,0
2458346.6324456,0.99416129,0.00644749,0.20594,-0.075549,1.00000000044,0.00644749,112.632445648,0
2458346.6493093,0.99703206,0.00644749,0.205943,-0.0755473,1.00000000044,0.00644749,112.649309259,0
2458346.6577411,1.0019015,0.00644749,0.205945,-0.0755465,1.00000000044,0.00644749,112.657741065,0
2458346.6661729,1.009569,0.00644749,0.205946,-0.0755456,1.00000000044,0.00644749,112.66617287,0
2458346.6746047,1.0102231,0.00644749,0.205948,-0.0755448,1.00000000044,0.00644749,112.674604676,0
2458346.6830365,0.99387057,0.00644749,0.20595,-0.0755439,1.00000000044,0.00644749,112.683036481,0
2458346.6914683,0.99645064,0.00644749,0.205951,-0.0755431,1.00000000044,0.00644749,112.691468287,0
2458346.6999001,1.0036094,0.00644749,0.205953,-0.0755422,1.00000000044,0.00644749,112.699900093,0
2458346.7083319,1.00281,0.00644749,0.205955,-0.0755414,1.00000000044,0.00644749,112.708331898,0
2458346.7167637,0.99859464,0.00644749,0.205956,-0.0755405,1.00000000044,0.00644749,112.716763704,0
2458346.7251955,1.0031733,0.00644749,0.205958,-0.0755397,1.00000000044,0.00644749,112.725195509,0
2458346.7336273,0.99666867,0.00644749,0.20596,-0.0755389,1.00000000044,0.00644749,112.733627315,0
2458346.7420591,0.99804955,0.00644749,0.205961,-0.075538,1.00000000044,0.00644749,112.74205912,0
2458346.7504909,0.99416129,0.00644749,0.205963,-0.0755372,1.00000000044,0.00644749,112.750490926,0
2458346.7589227,1.0048813,0.00644749,0.205964,-0.0755363,1.00000000044,0.00644749,112.758922731,0
2458346.7673545,0.99801322,0.00644749,0.205966,-0.0755355,1.00000000044,0.00644749,112.767354537,0
2458346.7842181,0.99710474,0.00644749,0.205969,-0.0755338,1.00000000044,0.00644749,112.784218148,0
2458346.79265,0.99975749,0.00644749,0.205971,-0.0755329,1.00000000044,0.00644749,112.792649954,0
2458346.8010818,0.99496074,0.00644749,0.205973,-0.0755321,1.00000000044,0.00644749,112.801081759,0
2458346.8095136,1.0065165,0.00644749,0.205974,-0.0755312,1.00000000044,0.00644749,112.809513565,0
2458346.8179454,0.99238068,0.00644749,0.205976,-0.0755304,1.00000000044,0.00644749,112.81794537,0
2458346.8263772,1.0076067,0.00644749,0.205978,-0.0755296,1.00000000044,0.00644749,112.826377176,0
2458346.834809,0.99775884,0.00644749,0.205979,-0.0755287,1.00000000044,0.00644749,112.834808981,0
2458346.8432408,1.0118947,0.00644749,0.205981,-0.0755279,1.00000000044,0.00644749,112.843240787,0
2458346.8516726,1.0118584,0.00644749,0.205982,-0.075527,1.00000000044,0.00644749,112.851672593,0
2458346.8601044,1.0081154,0.00644749,0.205984,-0.0755262,1.00000000044,0.00644749,112.860104398,0
2458346.8685362,1.0023012,0.00644749,0.205986,-0.0755253,1.00000000044,0.00644749,112.868536204,0
2458346.876968,0.99557851,0.00644749,0.205987,-0.0755245,1.00000000044,0.00644749,112.876968009,0
2458346.8853998,0.992308,0.00644749,0.205989,-0.0755236,1.00000000044,0.00644749,112.885399815,0
2458346.8938316,0.99637796,0.00644749,0.205991,-0.0755228,1.00000000044,0.00644749,112.89383162,0
2458346.9022634,0.99655966,0.00644749,0.205992,-0.0755219,1.00000000044,0.00644749,112.902263426,0
2458346.919127,1.0040455,0.00644749,0.205995,-0.0755202,1.00000000044,0.00644749,112.919127037,0
2458346.9275588,0.99161756,0.00644749,0.205997,-0.0755194,1.00000000044,0.00644749,112.927558843,0
2458346.9359906,0.99568752,0.00644749,0.205999,-0.0755186,1.00000000044,0.00644749,112.935990648,0
2458346.9444225,0.99815857,0.00644749,0.206,-0.0755177,1.00000000044,0.00644749,112.944422454,0
2458346.9528543,0.99608725,0.00644749,0.206002,-0.0755169,1.00000000044,0.00644749,112.952854259,0
2458346.9612861,0.9936162,0.00644749,0.206003,-0.075516,1.00000000044,0.00644749,112.961286065,0
2458346.9697179,1.0101504,0.00644749,0.206005,-0.0755152,1.00000000044,0.00644749,112.96971787,0
2458346.9781497,0.99670501,0.00644749,0.206007,-0.0755143,1.00000000044,0.00644749,112.978149676,0
2458346.9865815,0.99913972,0.00644749,0.206008,-0.0755135,1.00000000044,0.00644749,112.986581481,0
2458346.9950133,0.99107247,0.00644749,0.20601,-0.0755126,1.00000000044,0.00644749,112.995013287,0
2458347.0034451,1.0112769,0.00644749,0.206012,-0.0755118,1.00000000044,0.00644749,113.003445093,0
2458347.0118769,1.001211,0.00644749,0.206013,-0.0755109,1.00000000044,0.00644749,113.011876898,0
2458347.0203087,1.0005206,0.00644749,0.206015,-0.0755101,1.00000000044,0.00644749,113.020308704,0
2458347.0287405,0.9964143,0.00644749,0.206016,-0.0755092,1.00000000044,0.00644749,113.028740509,0
2458347.0371723,1.0037548,0.00644749,0.206018,-0.0755084,1.00000000044,0.00644749,113.037172315,0
2458347.0540359,0.99714108,0.00644749,0.206021,-0.0755067,1.00000000044,0.00644749,113.054035926,0
2458347.0624677,0.99401593,0.00644749,0.206023,-0.0755059,1.00000000044,0.00644749,113.062467731,0
2458347.0708995,0.99139952,0.00644749,0.206024,-0.075505,1.00000000044,0.00644749,113.070899537,0
2458347.0793313,0.99292576,0.00644749,0.206026,-0.0755042,1.00000000044,0.00644749,113.079331343,0
2458347.0877631,1.007534,0.00644749,0.206028,-0.0755033,1.00000000044,0.00644749,113.087763148,0
2458347.096195,1.0025192,0.00644749,0.206029,-0.0755025,1.00000000044,0.00644749,113.096194954,0
2458347.1046268,1.0066255,0.00644749,0.206031,-0.0755016,1.00000000044,0.00644749,113.104626759,0
2458347.1130586,0.98976427,0.00644749,0.206033,-0.0755008,1.00000000044,0.00644749,113.113058565,0
2458347.1214904,0.98976427,0.00644749,0.206034,-0.0754999,1.00000000044,0.00644749,113.12149037,0
2458347.1299222,0.99561484,0.00644749,0.206036,-0.0754991,1.00000000044,0.00644749,113.129922176,0
2458347.138354,0.99499708,0.00644749,0.206037,-0.0754982,1.00000000044,0.00644749,113.138353981,0
2458347.1467858,1.0020105,0.00644749,0.206039,-0.0754974,1.00000000044,0.00644749,113.146785787,0
2458347.1552176,1.000993,0.00644749,0.206041,-0.0754966,1.00000000044,0.00644749,113.155217593,0
2458347.1636494,1.0000845,0.00644749,0.206042,-0.0754957,1.00000000044,0.00644749,113.163649398,0
2458347.1720812,1.0020468,0.00644749,0.206044,-0.0754949,1.00000000044,0.00644749,113.172081204,0
2458347.1889448,1.004954,0.00644749,0.206047,-0.0754932,1.00000000044,0.00644749,113.188944815,0
2458347.1973766,1.0091693,0.00644749,0.206049,-0.0754923,1.00000000044,0.00644749,113.19737662,0
2458347.2058084,1.011822,0.00644749,0.20605,-0.0754915,1.00000000044,0.00644749,113.205808426,0
2458347.2142402,0.99619627,0.00644749,0.206052,-0.0754906,1.00000000044,0.00644749,113.214240231,0
2458347.222672,1.007098,0.00644749,0.206053,-0.0754898,1.00000000044,0.00644749,113.222672037,0
2458347.2311038,0.99463369,0.00644749,0.206055,-0.0754889,1.00000000044,0.00644749,113.231103843,0
2458347.2395356,1.0022649,0.00644749,0.206057,-0.0754881,1.00000000044,0.00644749,113.239535648,0
2458347.2479675,1.0014291,0.00644749,0.206058,-0.0754872,1.00000000044,0.00644749,113.247967454,0
2458347.2563993,1.0082245,0.00644749,0.20606,-0.0754864,1.00000000044,0.00644749,113.256399259,0
2458347.2648311,0.98554895,0.00644749,0.206061,-0.0754855,1.00000000044,0.00644749,113.264831065,0
2458347.2732629,0.99768617,0.00644749,0.206063,-0.0754847,1.00000000044,0.00644749,113.27326287,0
2458347.2816947,0.99913972,0.00644749,0.206065,-0.0754838,1.00000000044,0.00644749,113.281694676,0
2458347.2901265,1.0003752,0.00644749,0.206066,-0.075483,1.00000000044,0.00644749,113.290126481,0
2458347.2985583,1.0027009,0.00644749,0.206068,-0.0754822,1.00000000044,0.00644749,113.298558287,0
2458347.3069901,1.0049176,0.00644749,0.206069,-0.0754813,1.00000000044,0.00644749,113.306990093,0
2458347.3238537,1.0002662,0.00644749,0.206073,-0.0754796,1.00000000044,0.00644749,113.323853704,0
2458347.3322855,1.0060805,0.00644749,0.206074,-0.0754788,1.00000000044,0.00644749,113.332285509,0
2458347.3407173,0.99648698,0.00644749,0.206076,-0.0754779,1.00000000044,0.00644749,113.340717315,0
2458347.3491491,0.99692305,0.00644749,0.206077,-0.0754771,1.00000000044,0.00644749,113.34914912,0
2458347.3575809,0.99521512,0.00644749,0.206079,-0.0754762,1.00000000044,0.00644749,113.357580926,0
2458347.3660127,1.0017198,0.00644749,0.206081,-0.0754754,1.00000000044,0.00644749,113.366012731,0
2458347.3744445,0.99619627,0.00644749,0.206082,-0.0754745,1.00000000044,0.00644749,113.374444537,0
2458347.3828763,0.99586922,0.00644749,0.206084,-0.0754737,1.00000000044,0.00644749,113.382876343,0
2458347.3913081,0.99161756,0.00644749,0.206085,-0.0754728,1.00000000044,0.00644749,113.391308148,0
2458347.39974,1.0209431,0.00644749,0.206087,-0.075472,1.00000000044,0.00644749,113.399739954,0
2458347.4081718,0.99823125,0.00644749,0.206089,-0.0754711,1.00000000044,0.00644749,113.408171759,0
2458347.4166036,0.99481539,0.00644749,0.20609,-0.0754703,1.00000000044,0.00644749,113.416603565,0
2458347.4250354,0.99735911,0.00644749,0.206092,-0.0754694,1.00000000044,0.00644749,113.42503537,0
2458347.4334672,0.9949244,0.00644749,0.206093,-0.0754686,1.00000000044,0.00644749,113.433467176,0
2458347.441899,0.99049105,0.00644749,0.206095,-0.0754677,1.00000000044,0.00644749,113.441898981,0
2458347.4587626,0.996596,0.00644749,0.206098,-0.0754661,1.00000000044,0.00644749,113.458762593,0
2458347.4671944,0.98849241,0.00644749,0.2061,-0.0754652,1.00000000044,0.00644749,113.467194398,0
2458347.4756262,1.003246,0.00644749,0.206101,-0.0754644,1.00000000044,0.00644749,113.475626204,0
2458347.484058,1.0132392,0.00644749,0.206103,-0.0754635,1.00000000044,0.00644749,113.484058009,0
2458347.4924898,0.99735911,0.00644749,0.206104,-0.0754627,1.00000000044,0.00644749,113.492489815,0
2458347.5009216,0.99848562,0.00644749,0.206106,-0.0754618,1.00000000044,0.00644749,113.50092162,0
2458347.5093534,1.0009203,0.00644749,0.206108,-0.075461,1.00000000044,0.00644749,113.509353426,0
2458347.5177852,1.0071706,0.00644749,0.206109,-0.0754601,1.00000000044,0.00644749,113.517785231,0
2458347.526217,1.0004479,0.00644749,0.206111,-0.0754593,1.00000000044,0.00644749,113.526217037,0
2458347.5346488,0.99060007,0.00644749,0.206112,-0.0754584,1.00000000044,0.00644749,113.534648843,0
2458347.5430806,1.0039365,0.00644749,0.206114,-0.0754576,1.00000000044,0.00644749,113.543080648,0
2458347.5515125,0.99979382,0.00644749,0.206116,-0.0754567,1.00000000044,0.00644749,113.551512454,0
2458347.5599443,0.99052739,0.00644749,0.206117,-0.0754559,1.00000000044,0.00644749,113.559944259,0
2458347.5683761,1.0122581,0.00644749,0.206119,-0.075455,1.00000000044,0.00644749,113.568376065,0
2458347.5768079,0.98598502,0.00644749,0.20612,-0.0754542,1.00000000044,0.00644749,113.57680787,0
2458347.5936715,0.99608725,0.00644749,0.206123,-0.0754525,1.00000000044,0.00644749,113.593671481,0
2458347.6021033,0.99961213,0.00644749,0.206125,-0.0754516,1.00000000044,0.00644749,113.602103287,0
2458347.6105351,0.9977225,0.00644749,0.206127,-0.0754508,1.00000000044,0.00644749,113.610535093,0
2458347.6189669,0.99205363,0.00644749,0.206128,-0.0754499,1.00000000044,0.00644749,113.618966898,0
2458347.6273987,1.0025919,0.00644749,0.20613,-0.0754491,1.00000000044,0.00644749,113.627398704,0
2458347.6358305,1.0020832,0.00644749,0.206131,-0.0754482,1.00000000044,0.00644749,113.635830509,0
2458347.6442623,0.99826759,0.00644749,0.206133,-0.0754474,1.00000000044,0.00644749,113.644262315,0
