EventID,SubRun,Field,galactic_l,galactic_b,ra_deg,dec_deg,SourceID,Source_mul,Source_mub,Source_Vr,Source_U,Source_V,Source_W,Source_iMass,Source_CL,Source_age,Source_Teff,Source_logg,Source_pop,Source_Mass,Source_Mbol,Source_Radius,Source_[Fe/H],Source_l,Source_b,Source_RA2000.0,Source_DEC2000.0,Source_Dist,Source_x,Source_y,Source_z,Source_Av,Source_[alpha/Fe],LensID,Lens_mul,Lens_mub,Lens_Vr,Lens_U,Lens_V,Lens_W,Lens_iMass,Lens_CL,Lens_age,Lens_Teff,Lens_logg,Lens_pop,Lens_Mass,Lens_Mbol,Lens_Radius,Lens_[Fe/H],Lens_l,Lens_b,Lens_RA2000.0,Lens_DEC2000.0,Lens_Dist,Lens_x,Lens_y,Lens_z,Lens_Av,Lens_[alpha/Fe],u0lens1,alpha,t0lens1,tref,tcroin,ucroin,rcroin,tE_ref,tE_helio,rE,thetaE,rho,piE,piEN,piEE,murel_helio_alpha,murel_helio_delta,murel_helio_l,murel_helio_b,murel_helio_lambda,murel_helio_beta,murel_helio,murel_ref_alpha,murel_ref_delta,murel_ref_l,murel_ref_b,murel_ref_lambda,murel_ref_beta,murel_ref,vtilde_helio,vtilde_ref,v_ref,vtilde_helio_N,vtilde_helio_E,vtilde_ref_N,vtilde_ref_E,v_ref_N,v_ref_E,piEll,piErp,vt,LDgamma,Planet_mass,Planet_semimajoraxis,Planet_inclination,Planet_orbphase,Planet_q,Planet_s,Planet_period,u0max,t0range,weight_scale,raw_weight,weight,Source_R062,Source_Z087,Source_Y106,Source_J129,Source_W146,Source_H158,Source_F184,Source_K213,Source_2MASS_Ks,Source_2MASS_J,Source_2MASS_H,Source_Bessell_U,Source_Bessell_B,Source_Bessell_V,Source_Bessell_I,Source_Bessell_R,Source_Kepler_Kp,Source_TESS,Source_DECam_z,Source_DECam_u,Source_DECam_g,Source_DECam_r,Source_DECam_i,Source_DECam_Y,Source_Gaia_G_EDR3,Source_Gaia_BP_EDR3,Source_Gaia_RP_EDR3,Source_VISTA_Z,Source_VISTA_Y,Source_VISTA_J,Source_VISTA_H,Source_VISTA_Ks,Lens_R062,Lens_Z087,Lens_Y106,Lens_J129,Lens_W146,Lens_H158,Lens_F184,Lens_K213,Lens_2MASS_Ks,Lens_2MASS_J,Lens_2MASS_H,Lens_Bessell_U,Lens_Bessell_B,Lens_Bessell_V,Lens_Bessell_I,Lens_Bessell_R,Lens_Kepler_Kp,Lens_TESS,Lens_DECam_z,Lens_DECam_u,Lens_DECam_g,Lens_DECam_r,Lens_DECam_i,Lens_DECam_Y,Lens_Gaia_G_EDR3,Lens_Gaia_BP_EDR3,Lens_Gaia_RP_EDR3,Lens_VISTA_Z,Lens_VISTA_Y,Lens_VISTA_J,Lens_VISTA_H,Lens_VISTA_Ks,Obs_0_fs,Obs_1_fs,Obs_2_fs,NumObsGroups,ErrorFlag,ObsGroup_0_flatlc,ObsGroup_0_flatchi2,ObsGroup_0_FiniteSourceflag,ObsGroup_0_chi2,ObsGroup_0_t0_err,ObsGroup_0_tE_err,ObsGroup_0_u0_err,ObsGroup_0_alpha_err,ObsGroup_0_s_err,ObsGroup_0_q_err,ObsGroup_0_rs_err,ObsGroup_0_piEN_err,ObsGroup_0_piEE_err,ObsGroup_0_Fbase0_err,ObsGroup_0_fs0_err,ObsGroup_0_Fbase1_err,ObsGroup_0_fs1_err,ObsGroup_0_Fbase2_err,ObsGroup_0_fs2_err,LCOutput
0,1,881,1.488199877739,-2.15330760479,269.3860641412,-28.75576236569,41691,-8.1639442,1.1794707,-0.023119669,23.37034,-100.78591,57.787311,0.61532101,0.0,10.0,3897.7071,4.6817643,0.0,0.61529413,7.5923788,0.59235627,0.32577668,1.3996796,-2.2039614,269.38447,-28.857683,8.954196,0.7661674,0.21855866,-0.34594401,1.2730312,0.0,30009,-7.2860211,3.0502329,-104.82694,-79.914752,-44.478168,132.34931,0.17547143,0.0,10.0,3063.1303,5.0829515,0.0,0.17546951,11.066483,0.19366429,0.13084704,1.4008547,-2.1947533,269.37603,-28.852063,8.3301398,0.14286008,0.2034983,-0.31931123,1.2730312,0.0,-0.2862066199393,354.0805792809,1389.990493655,1389.990493655,1389.990493655,-0.7733671665192,0.2082921764899,19.53416718202,19.32858395262,0.9109645473172,0.1093576541557,0.002812938003942,0.07650602362169,0.06307597092199,-0.04329657656964,-1.181434992152,1.69549743078,0.8779224821573,1.870762489945,-1.188682662952,1.690424119936,2.066518855095,-1.149956348842,1.690764802629,0.8895585377506,1.841133028862,-1.157184047519,1.685826296573,4.18108522205,1170.889742493,1158.56695994,18.03624976244,957.7944365788,-673.5076883998,955.1893095075,-655.660570469,2.605127071334,-17.84711793078,0.03886667132483,0.06589805392066,81.60431190438,0.36,3.00374072e-06,0.5333443777926,41.47661514344,204.4866763186,1.71183057387e-05,0.5629796122363,0.9298374488341,0.2082921764899,432.0,1.0,0.4519754400132,0.1101758612724,24.864455,23.037541,22.405495,21.966012,21.927765,21.628317,21.612833,21.758105,19.9236,21.154923,20.193669,29.658915,27.930643,25.780263,22.99365,24.444126,24.7732,23.369542,22.832143,29.607236,26.959647,24.738182,23.576547,22.579113,24.5691,26.109969,23.205784,22.483263,21.883991,21.08926,20.200531,19.931942,29.320874,26.522379,25.563099,25.055928,25.08858,24.779412,24.865818,24.806837,22.972332,24.190345,23.312315,34.7605,33.121164,30.774082,26.71999,28.918462,28.962856,27.047728,26.198023,33.886594,31.917212,29.489021,27.378131,25.824697,28.645668,31.099551,26.969024,25.966656,25.123453,24.113006,23.328896,23.001737,0.1181043430914,0.1087615008585,0.0720852297792,1,0,0,3694920.229662,0,-13.50682275284,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
1,1,881,1.402260375023,-2.246864658594,269.4295828546,-28.87689764802,13084,-7.009976,2.126155,-97.276851,-74.849472,-13.154663,89.43623,0.19116193,0.0,10.0,3644.2909,5.099433,0.0,0.19115889,10.203074,0.20362743,-0.64079835,1.402451,-2.1948561,269.37704,-28.850733,7.7195556,-0.4670498,0.18879708,-0.29467405,1.2730312,0.0,1992,-8.473654,1.8569383,-173.29492,-150.8013,-40.782606,76.582492,0.095054513,2e-50,10.0,2e-50,2e-50,0.0,0.095054513,2e-50,2e-50,2e-50,1.4006525,-2.1976578,269.37879,-28.85369,7.0275924,-1.15825,0.17165305,-0.26707968,1.2730312,0.0,-3.883619802481,106.2580490112,356.518319589,334.724727273,334.724727273,-0.7943694591522,0.07294614122155,24.2271371907,24.39087969784,0.6984158598043,0.09938195331366,0.001234210977833,0.1283443060105,-0.1210320562555,-0.04270248521908,-0.4978739169815,-1.402480831253,-1.463677911266,-0.2692171824261,-0.4922903243936,-1.404450481773,1.488230801738,-0.5041253402628,-1.410931686356,-1.474121584689,-0.2680226404836,-0.4985080771828,-1.412926140759,2.244870582257,553.1050191405,556.8432570442,3.906726744873,-521.9678356982,-182.9610360022,-525.1178373784,-185.2718807122,3.150001680211,2.310844710008,0.04084136774856,-0.1216726903038,49.57906112336,0.36,3.00374072e-06,3.884978639543,-45.35717211206,293.7768775811,3.160019051384e-05,4.221886414447,24.83646147029,0.07294614122155,432.0,1.0,0.2958018944555,0.02569343454015,27.110308,25.313775,24.681305,24.256666,24.244978,23.96944,23.972757,24.055403,22.220898,23.431765,22.542795,32.21941,30.414575,28.075921,25.272952,26.675087,27.03612,25.632181,25.108766,32.117958,29.383918,26.953207,25.842081,24.861746,26.837081,28.407623,25.46576,24.753664,24.164851,23.367069,22.549405,22.234456,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.03858944000044,0.04186026846447,0.01448077267961,1,0,1,2.775235557201,0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
2,1,881,1.391146701574,-2.120297157764,269.2980984119,-28.82323552548,30672,-7.433119,-6.4809292,-68.992418,-59.160529,-48.772537,-244.29287,0.39104388,0.0,10.0,3428.3352,4.8693741,0.0,0.39103654,9.1100988,0.38061932,0.26076043,1.404293,-2.1991918,269.38238,-28.851306,8.3019351,0.11464859,0.20330636,-0.3188151,1.2730312,0.0,13508,-9.7362785,1.2397867,-170.01052,-146.35275,-115.94677,60.143985,0.35333283,0.0,10.0,3061.4178,4.8519614,0.0,0.35332654,9.6682953,0.36912451,0.51299285,1.3979321,-2.203613,269.38313,-28.859021,7.7468297,-0.43983899,0.18885265,-0.2969583,1.2730312,0.0,0.6704799608278,244.3572020531,1415.645484993,1408.284768462,1408.284768462,0.152702331543,0.2460341629742,7.160752303663,7.145280896357,1.221018569026,0.1576152589267,0.001352590049533,0.05476131260953,0.0124377192031,-0.05333014625654,-7.836949067571,1.869820045685,-2.303162067861,7.720715133983,-7.846007743729,1.831436642722,8.056922346092,-7.820373206647,1.864285205792,-2.299658581334,7.703594409694,-7.829404988952,1.82598300615,64.63379641977,4425.053376051,4415.492676249,9.597968368832,1005.868562557,-4309.2140601,1002.873295644,-4300.095432301,2.995266913174,-9.11862779852,0.05310568033106,0.01336368494443,295.8793334892,0.36,3.00374072e-06,6.794042191867,-76.95087697736,276.8015912288,8.501316430971e-06,1.410844892236,29.79218684602,0.2460341629742,432.0,1.0,2.539777007762,0.7374713951665,26.7608,24.412862,23.628694,23.176569,23.182776,22.898418,22.927648,22.97956,21.145055,22.340874,21.461046,31.518223,30.033281,27.881857,24.473372,26.352437,26.540156,24.869779,24.149743,31.294404,29.028132,26.763671,25.099356,23.8371,26.283638,28.211247,24.740362,23.851419,23.131164,22.272635,21.470384,21.163215,27.871346,25.004886,23.968221,23.47049,23.519828,23.240435,23.305423,23.27018,21.435675,22.599588,21.78216,32.675042,31.448895,29.333411,25.227526,27.484394,27.507174,25.539379,24.65064,32.154185,30.394455,28.051234,25.883168,24.23154,27.178995,29.646766,25.475127,24.451984,23.512431,22.522656,21.797101,21.463016,0.05843570714128,0.07223888016046,0.01469797131283,1,0,0,52185.23890316,0,-6.716092480136,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
3,1,881,1.363269364834,-2.293078194559,269.453093272,-28.93373080118,34274,-11.600863,0.52628917,89.248221,114.33019,-218.24139,25.269264,0.25249867,0.0,10.0,3676.3221,5.0158661,0.0,0.25249404,9.6488097,0.25827842,-0.52376466,1.4042897,-2.2047799,269.38791,-28.854102,8.4771204,0.28960447,0.20759521,-0.32672749,1.2730312,0.0,28429,-6.3640206,-2.198744,84.866917,100.31049,-2.675483,-82.091725,0.4165338,0.0,10.0,3410.3062,4.8432968,0.0,0.4165257,9.000902,0.40449206,0.37502381,1.4051143,-2.2008383,269.38448,-28.851418,8.2983653,0.11107029,0.20333754,-0.31890897,1.2730312,0.0,6.555358656449,95.71154952049,330.4795788222,335.2285087109,335.2285087109,-0.7015413045883,0.107492305577,5.747024110461,5.745003276574,0.7705414673723,0.09285460925326,0.001525770647113,0.02736617338884,0.0148114653477,0.02301147409885,4.97580525429,3.176741439183,5.236843297114,-2.725031445966,4.963650329408,3.195700159183,5.903416307532,4.974425837379,3.175044419215,5.234684206354,-2.724683602791,4.962277396373,3.193997889327,34.82581947557,11013.04248556,11009.16995448,4.079801294322,5961.697395336,9259.874132795,5958.521747664,9257.3128752,3.175647672026,2.561257594291,-0.02276272712551,0.01519097428599,232.2295092788,0.36,3.00374072e-06,0.4211005244826,76.26399758827,82.56516279294,7.211417494767e-06,0.1468261733662,0.4234052181919,0.107492305577,432.0,1.0,1.096314876005,0.1393328334662,26.737422,24.95541,24.32851,23.910353,23.900028,23.629944,23.632123,23.720111,21.885606,23.08438,22.204999,31.756086,29.991245,27.686831,24.912245,26.303873,26.665427,25.270591,24.751871,31.678718,28.9764,26.578899,25.481515,24.505498,26.467252,28.018874,25.103801,24.396035,23.809802,23.020169,22.211324,21.898656,26.743419,24.326431,23.506925,23.048704,23.05728,22.771355,22.801916,22.852195,21.01769,22.211143,21.331594,31.41736,30.013384,27.905048,24.407412,26.340697,26.504787,24.794505,24.050828,31.187194,29.017777,26.772088,25.03815,23.721684,26.238227,28.229921,24.673538,23.766988,23.013575,22.142183,21.341437,21.036301,0.06949753102599,0.08808462333546,0.02020493093612,1,0,1,-4.40213195033,0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
4,1,881,1.456793427467,-2.192614471912,269.4070125818,-28.80259027738,27938,-5.1108446,5.0463412,-26.8491,-1.0620795,45.960532,205.40953,0.73501195,0.0,10.0,4494.6896,4.5929524,0.0,0.73494715,6.5607546,0.71635257,0.18204774,1.404424,-2.2047397,269.38794,-28.853966,8.2230809,0.035849973,0.20139332,-0.31642101,1.2730312,0.0,13524,-7.3369921,6.3541642,104.43627,133.21225,-20.911084,236.62974,0.14828387,0.0,10.0,3516.3468,5.1687944,0.0,0.14828194,10.803841,0.16585384,-0.61738814,1.3976831,-2.1964481,269.3759,-28.855656,7.7443547,-0.44227128,0.1887596,-0.29589034,1.2730312,0.0,0.03466816663314,261.0445976257,1798.796251416,1798.796251416,1798.796251416,0.1148351430893,0.3018950967491,13.44057758744,13.48055184382,0.7379716732771,0.09529156422512,0.00425099659642,0.07888836252654,-0.0392504067879,-0.0684308359521,-2.245228744329,-1.274786875021,-2.226147931459,1.307822265579,-2.239937916098,-1.284060677349,2.581885685131,-2.251597920093,-1.279121412859,-2.23308514972,1.311173328246,-2.246289112773,-1.2884215166,6.705844782601,1628.137416751,1632.979737112,4.858266174553,-809.72881418,-1412.505113375,-812.4787599247,-1416.510178746,2.74994574462,4.005065370809,0.06701162721527,-0.04162710126926,94.78588961849,0.36,3.00374072e-06,0.7865229677361,27.68257989054,138.5186945461,2.025695590441e-05,1.014074209703,1.811417609987,0.3018950967491,432.0,1.0,0.492058867391,0.1762204812851,23.155385,21.816293,21.313665,20.934708,20.922352,20.663428,20.687741,20.875948,19.041443,20.117152,19.250727,27.42603,25.846462,23.870681,21.687071,22.754263,23.140694,22.000424,21.656662,27.638634,24.948263,22.977743,22.224226,21.447591,22.971384,24.201106,21.818874,21.272024,20.76363,20.054484,19.255889,19.046144,27.862745,25.932805,25.269714,24.822725,24.810757,24.518881,24.533069,24.593174,22.758669,23.99822,23.085194,33.215784,31.293755,28.885134,25.913414,27.425271,27.756812,26.287377,25.718656,32.986504,30.221364,27.729705,26.493468,25.46475,27.546547,29.215429,26.127306,25.369267,24.764102,23.931465,23.093208,22.774852,0.4245771757383,0.5023503775132,0.2112484162587,1,0,0,100839750.4332,1,2182.151299377,0.0001332660394294,0.0006218258313324,4.231137714207e-05,0.001549032750922,7.168294979273e-05,0.01471621590417,0.007741919262825,2.103144855971,0.0733461282511,2.499429882489e-05,0.0004967392861161,0.000369566805623,0.0008894732746723,0.0002296975429174,0.0003725331286528,0
5,1,881,1.480546307564,-2.170164775848,269.3983590503,-28.77081210961,42210,-1.4495122,-0.016799646,142.37611,156.59672,187.14417,1.2958164,0.16826521,0.0,10.0,3632.366,5.1413712,0.0,0.16826271,10.465239,0.1816562,-0.77309309,1.395651,-2.2010562,269.3793,-28.859718,9.0140298,0.82596813,0.2193864,-0.34791262,1.2730312,0.0,32024,-5.4276416,1.9329731,63.871186,85.085687,31.084381,82.11737,0.17620925,0.0,10.0,3344.3437,5.0970332,0.0,0.17620705,10.663552,0.19558922,-0.15763484,1.3960803,-2.2025266,269.381,-28.860081,8.4030495,0.21565952,0.20457885,-0.32339394,1.2730312,0.0,0.0786931942186,199.9939584732,1598.914586306,1598.914586306,1598.914586306,0.2721540927887,0.28914940581,8.859837537264,8.871255220998,0.9041909180621,0.1076027123322,0.0008708853196664,0.07496319310957,-0.04194897128932,-0.06212699999961,-3.676957946502,-2.471256268346,-3.978130043453,1.94977143316,-3.66655761916,-2.48666091568,4.430251379345,-3.68675868172,-2.46689223716,-3.979248204775,1.960441432891,-3.676376577083,-2.482338041137,19.677746887,2603.625512269,2606.980807729,6.305016999946,-1461.39197216,-2154.808416506,-1458.85145121,-2160.578944443,-2.540520950517,5.770527936818,-0.06367656214766,0.03955724654521,176.4764408029,0.36,3.00374072e-06,0.9240818783507,-40.31314503335,170.2023057693,1.704665460321e-05,1.015786095259,2.11616895393,0.28914940581,432.0,1.0,0.9534060033055,0.3264773255703,27.713544,25.918359,25.284097,24.855284,24.840533,24.561162,24.563398,24.644489,22.809984,24.031844,23.133485,32.889499,31.051378,28.690026,25.877397,27.277931,27.639779,26.234713,25.713884,32.767533,30.00375,27.549984,26.444576,25.467405,27.440756,29.021217,26.067956,25.357865,24.768622,23.96692,23.140176,22.82359,28.243019,25.983667,25.23918,24.778957,24.786379,24.494036,24.535081,24.559152,22.724647,23.942789,23.053804,33.502263,31.706866,29.35374,26.023887,27.814497,28.045537,26.42109,25.736501,33.14213,30.625786,28.198865,26.637975,25.448867,27.802802,29.685471,26.282892,25.416882,24.748203,23.873491,23.064148,22.745336,0.01580865232818,0.01729250648837,0.006576770942959,1,0,0,174890.4190544,0,-9.32048227833,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
6,1,881,1.460727357864,-2.104442584515,269.3221354685,-28.75509977649,4955,-4.7544036,2.5566655,6.9039523,27.396229,81.139077,96.01894,0.46273335,0.0,10.0,3559.0493,4.8175383,0.0,0.4627225,8.6362661,0.43929464,0.32433212,1.3956096,-2.2019334,269.38014,-28.860192,7.3103173,-0.87584705,0.17791551,-0.2790535,1.2730312,0.0,575,-3.1804367,3.3811981,27.280767,46.844823,146.92291,112.33432,0.25863992,0.0,10.0,3055.3227,4.9848602,0.0,0.25863665,10.452589,0.25825292,0.2996788,1.3955172,-2.1967858,269.375,-28.857699,6.5975166,-1.5878274,0.16055758,-0.24959423,1.2730312,0.0,1.127536222829,26.05332612991,1651.551881166,1631.390817761,1631.390817761,0.1093058586121,0.1376881430398,36.06710897123,36.27295068023,1.16419565661,0.1764596782689,0.001583533102825,0.08375406895245,0.08362724770938,0.004607331835845,0.0735569884002,1.775335230376,1.573966626421,0.8245331222394,0.06516459040918,1.775663083728,1.776858410442,0.1067360885235,1.783808792113,1.59790332991,0.8000445910545,0.09830326742513,1.784293380313,3.193366399414,569.9317730201,573.184479808,10.98385975591,569.5483689913,20.90170512843,572.3165581757,31.53101854826,-2.768189184404,-10.62931341982,0.003448736060278,-0.08368303463473,55.57183772521,0.36,3.00374072e-06,0.4141510782405,-75.08905803543,193.0272952876,1.161374739427e-05,0.3471980281789,0.5240716169189,0.1376881430398,432.0,1.0,0.6270840854844,0.1027040092587,25.878594,23.652514,22.907143,22.459812,22.45116,22.16362,22.172569,22.256158,20.421653,21.63252,20.72821,30.577019,29.070087,26.943583,23.687047,25.469236,25.691397,24.084112,23.404688,30.418469,28.083277,25.850092,24.30353,23.105717,25.447359,27.271805,23.945359,23.092731,22.402731,21.565625,20.736329,20.436448,28.283615,25.422834,24.421286,23.917473,23.957874,23.658668,23.743293,23.687595,21.85309,23.047112,22.192874,33.488013,32.024285,29.769106,25.641797,27.891195,27.910706,25.95666,25.084769,32.688619,30.867729,28.489215,26.308912,24.687011,27.583248,30.092178,25.887507,24.870605,23.980482,22.969614,22.209352,21.882365,0.05307374888215,0.06179083222384,0.0131110663676,1,0,0,31873.79813811,0,-16.67411132033,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
7,1,881,1.384984737635,-2.23134598732,269.4043811908,-28.88409870385,41328,-1.9573628,1.9750225,74.84179,93.056728,164.8238,88.139068,0.5133109,0.0,10.0,3682.2557,4.7764218,0.0,0.51329613,8.2729921,0.48512186,0.27201333,1.4032927,-2.1978497,269.38048,-28.851501,8.9139439,0.72598512,0.21813859,-0.34336237,1.2730312,0.0,12371,-7.5695313,2.6499637,-212.31803,-188.51216,-36.173249,113.1535,0.41334554,0.0,10.0,3659.1604,4.8664395,0.0,0.41333581,8.7610345,0.39238043,-0.08312606,1.3989798,-2.1956942,269.37589,-28.854156,7.7129976,-0.4735936,0.18816978,-0.29452203,1.2730312,0.0,-2.801870808017,96.8979871273,1654.988532674,1642.93957293,1642.93957293,-0.7280244827271,0.05555712611644,15.79035539228,15.67046564915,1.870526077997,0.2425160975024,0.00104350210632,0.0720261041447,-0.05814100083462,-0.04251333555734,-3.388874144453,-4.524103549755,-5.612168722885,0.6749393467018,-3.370050818027,-4.538142613423,5.652608326768,-3.329896887581,-4.514467054538,-5.574352285982,0.6286673684831,-3.311114102099,-4.528261197337,31.46862606843,1534.051159333,1522.403733112,16.2179796382,-1231.598323268,-914.5920017002,-1228.916623613,-898.5972728653,-2.681699655315,-15.99472883496,-0.03998971463855,0.05990477778433,206.6776596614,0.36,3.00374072e-06,6.177706117487,-79.40278728235,20.34858827047,7.26707110134e-06,3.103746876441,23.88293915857,0.05555712611644,432.0,1.0,2.741687062235,0.1787891559611,25.751291,23.703417,23.01584,22.576311,22.554452,22.265291,22.259365,22.36735,20.532845,21.755367,20.831431,30.517237,28.903424,26.743564,23.701715,25.334491,25.610409,24.095538,23.477312,30.40253,27.916509,25.67117,24.3035,23.202417,25.385789,27.073915,23.943661,23.144337,22.503402,21.689593,20.838627,20.54475,25.786061,23.863697,23.207458,22.781851,22.769836,22.493996,22.495711,22.588071,20.753566,21.955872,21.065147,30.687567,28.991481,26.752983,23.841854,25.359356,25.677347,24.220837,23.648548,30.583705,27.990744,25.666019,24.429565,23.389023,25.465863,27.084808,24.061851,23.304609,22.692098,21.89094,21.071988,20.76665,0.1371146961464,0.1352745988128,0.05852827090148,1,0,0,344.9909231255,0,-8.840590435524,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
8,1,881,1.390539169312,-2.252351418138,269.4283301165,-28.88978470783,14672,-10.61989,-2.6793302,-176.25016,-157.5612,-149.04304,-83.50527,0.2239412,0.0,10.0,2765.958,4.977695,0.0,0.22393905,10.9889,0.24615352,0.46995724,1.405957,-2.2012862,269.3854,-28.850913,7.7536957,-0.43299455,0.19010518,-0.29692188,1.2730312,0.0,5081,-11.380442,-2.9233305,-2.9372447,15.537167,-150.78144,-93.8452,0.13684803,0.0,10.0,2486.1551,5.0622988,0.0,0.13684715,12.172516,0.17665159,0.51900596,1.400766,-2.1994144,269.38059,-28.85447,7.3464787,-0.83972908,0.17945637,-0.28019522,1.2730312,0.0,14.53091960373,242.7463531494,633.1243407464,514.7620761395,514.7620761395,-0.9719212055206,0.02151709933686,41.01887483717,40.82273169528,0.6558326883776,0.0892717062363,0.001653622661259,0.08008000435955,-0.07833228933075,-0.0166390969235,-0.1685129115561,-0.7807553328303,-0.7605519195605,-0.2440005507309,-0.1653985147288,-0.7814210276346,0.7987336797106,-0.1682670528955,-0.7769008711516,-0.7570899357388,-0.2422882454626,-0.1651680266785,-0.7775656162984,0.6318887646863,529.6457830883,527.113134682,2.561114197308,-518.1656447154,-109.6768899077,-515.6090950066,-109.5240517001,-2.556549708878,-0.1528382075491,-0.01735161153067,0.07817754585247,27.81651165748,0.36,3.00374072e-06,11.73376233732,75.78905727989,24.10173647182,2.194960377326e-05,16.429850015,108.6508895748,0.02151709933686,432.0,1.0,0.1426070717566,0.003611907575227,29.960922,26.620562,25.325519,24.754775,24.823377,24.51757,24.619858,24.459096,22.624591,23.84013,23.012033,35.505052,34.181014,31.888009,27.070566,29.594029,29.464535,27.19693,26.180445,34.08707,32.866008,30.363152,27.767011,25.663327,29.042038,32.179675,27.217224,26.08695,24.951897,23.750538,23.035687,22.662525,31.69438,27.947398,26.415683,25.785333,25.874527,25.547985,25.685529,25.421169,23.586664,24.829734,24.003097,37.720423,36.412433,34.035399,28.611452,31.350477,31.094435,28.555153,27.425901,35.574575,34.886325,32.273598,29.338177,26.816497,30.581387,34.295649,28.654183,27.434578,26.111078,24.729525,24.034286,23.633705,0.00385077661741,0.001867052035527,0.002130554184586,1,0,1,-2.276864860964,0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
9,1,881,1.455449128151,-2.223821640015,269.4370995807,-28.81934443513,36617,-10.829335,3.4863477,223.60847,252.73141,-188.49195,140.182,0.37106208,0.0,10.0,3246.0053,4.8635865,0.0,0.37105588,9.3899495,0.37324054,0.38470593,1.3996631,-2.2008118,269.38134,-28.856123,8.567334,0.37975777,0.2091139,-0.32979261,1.2730312,0.0,626,-4.7582443,-0.44910735,-69.193988,-53.119526,94.373976,-3.5317146,0.20684434,0.0,10.0,2907.2268,5.0496292,0.0,0.20684196,11.134036,0.20840689,0.31093076,1.405393,-2.2007202,269.38452,-28.851118,6.6305994,-1.5548278,0.16250396,-0.25138593,1.2730312,0.0,-0.2551949541922,346.21301651,1604.491734533,1601.231501698,1601.231501698,-0.946701169014,0.248960951006,12.13494767131,12.09982816585,1.589217379991,0.2396792935479,0.0008452117924128,0.1422463420547,0.06581660538912,0.126103910657,6.441743307298,3.293917409571,6.07109199569,-3.935453051183,6.428762993179,3.319179886015,7.235050016289,6.408491990119,3.312798045687,6.070840736288,-3.897216087613,6.395437813947,3.337929844508,52.04340047893,1005.9846633,1003.073263528,5.31670538477,461.5094646958,893.8759180057,464.1165193311,889.2422777222,-2.607054635282,4.633640283524,0.1283452624944,-0.06133119453577,227.4132541422,0.36,3.00374072e-06,1.577897080245,34.56756861587,333.2304160297,1.452191189834e-05,0.959909432575,4.358083362104,0.248960951006,432.0,1.0,3.468158171324,1.018274685771,27.438191,24.833025,23.935661,23.463219,23.490025,23.206765,23.25825,23.268927,21.434422,22.612356,21.760537,32.190235,30.837832,28.710729,24.965632,27.040009,27.146456,25.332862,24.529225,31.843272,29.814596,27.523919,25.608281,24.168448,26.856788,29.033843,25.231976,24.274265,23.456058,22.540409,21.772553,21.457241,29.358555,26.240048,25.111179,24.571205,24.621297,24.304324,24.416298,24.298087,22.463582,23.680262,22.816122,34.948186,33.432209,31.089944,26.565544,28.977845,28.908008,26.801853,25.859038,33.657149,32.135541,29.693129,27.254014,25.414073,28.535091,31.405024,26.77223,25.699523,24.713358,23.596793,22.837076,22.498488,0.08023144330262,0.08468922133749,0.02504762022468,1,0,0,666609.2709349,0,-16.37490200827,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0
