param_err_key,matrix_key,count
alpha_err,A1,107
alpha_err,A2,122
alpha_err,B,27
log_q_err,A1,92
log_q_err,A2,160
log_q_err,B,3
log_q_err,D,1
log_rho_err,A1,67
log_rho_err,A2,87
log_rho_err,B,100
log_rho_err,D,2
log_s_err,A1,123
log_s_err,A2,104
log_s_err,B,10
log_s_err,C,5
log_s_err,D,14
log_tE_err,A1,155
log_tE_err,A2,96
log_tE_err,B,5
piEE_err,A1,12
piEE_err,C,69
piEE_err,D,175
piEN_err,A1,4
piEN_err,A2,1
piEN_err,B,5
piEN_err,C,23
piEN_err,D,223
t0_err,A1,117
t0_err,A2,139
u0_err,A1,166
u0_err,A2,42
u0_err,B,28
u0_err,C,7
u0_err,D,13
